Date,Rank,Team,Best XI Points,Avg Per Player
2026-04-13,1,SRH,2425,220.5
2026-04-13,2,DC,1968,178.9
2026-04-13,3,GT,1748,158.9
2026-04-13,4,KKR,1690,153.6
2026-04-13,5,LSG,1618,147.1
2026-04-13,6,RCB,1521,138.3
2026-04-13,7,RR,1437,130.6
2026-04-13,8,PBKS,1395,126.8
2026-04-13,9,MI,1173,106.6
2026-04-13,10,CSK,-1,0
2026-05-06,1,SRH,5468,497.1
2026-05-06,2,KKR,4495,408.6
2026-05-06,3,LSG,4219,383.5
2026-05-06,4,RCB,3991,362.8
2026-05-06,5,GT,3943,358.5
2026-05-06,6,DC,3817,347.0
2026-05-06,7,RR,3414,310.4
2026-05-06,8,PBKS,2430,220.9
2026-05-06,9,MI,2335,212.3
2026-05-06,10,CSK,-1,0
2026-05-13,1,SRH,6232,566.5
2026-05-13,2,KKR,5200,472.7
2026-05-13,3,LSG,5147,467.9
2026-05-13,4,RCB,4723,429.4
2026-05-13,5,DC,4680,425.5
2026-05-13,6,GT,4171,379.2
2026-05-13,7,RR,3688,335.3
2026-05-13,8,PBKS,3022,274.7
2026-05-13,9,MI,2581,234.6
2026-05-13,10,CSK,-1,0
